neighbourhood,postalcode,street
Jardim Tarumãs,11669-292,Avenida Benjamin Arantes Silva Júnior
Jardim Tarumãs,11669-303,Rua Três
Jardim Tarumãs,11669-304,Rua Eclesiastes
Jardim Tarumãs,11669-305,Rua Levítico
Jardim Tarumãs,11669-306,Rua Gênesis
Jardim Tarumãs,11669-311,Avenida Marginal Esquerda
Jardim Tarumãs,11669-312,Travessa Hebreus
Jardim Tarumãs,11669-313,Travessa Crônicas
Jardim Tarumãs,11669-314,Travessa Filipenses
Jardim Tarumãs,11669-315,Rua Apocalipse
Jardim Terralão,11663-235,Praça Benedicto Fachini
Jardim Terralão,11663-411,Rua Benedito Cruz de Moura
Jardim Terralão,11663-421,Rua Benedito Izidoro de Moura
Jardim Terralão,11663-460,Rua Saíra
Jardim Terralão,11663-480,Rua Benedita Cruz de Moura
Loteamento Altamir Tibiriça Pimenta,11663-170,Rua Benedito Antônio Moreira
Loteamento Altamir Tibiriça Pimenta,11663-180,Rua Francisco Morgado
Loteamento Altamir Tibiriça Pimenta,11663-190,Rua Manoel de Castro Bouvim
Loteamento Balneário Camburi,11661-575,Rua Adaly Coelho Passos
Loteamento Balneário Camburi,11661-576,Rua Serra Negra
Loteamento Balneário Camburi,11661-585,Rua Águas de Lindóia
Loteamento Balneário Camburi,11661-620,Rua José Vieira da Mota
Loteamento Balneário Camburi,11661-630,Rua Ibirá
Loteamento Balneário Camburi,11661-640,Rua Águas de São Pedro
Loteamento Balneário Camburi,11661-650,Rua Águas da Prata
Loteamento Balneário Camburi,11661-670,Rua Atibaia
Loteamento Balneário Camburi,11661-680,Rua Amparo
Loteamento Balneário Camburi,11661-700,Rua Benedito Jorge
Loteamento Balneário Camburi,11661-710,Rua Pedro Carvalho
Loteamento Balneário Camburi,11661-730,Rua Doutor Antonio Roberto Almeida
Loteamento Balneário Camburi,11661-740,Rua Lindóia
Loteamento Balneário Camburi,11661-750,Rua Benedito Vicente Santos
Loteamento Balneário Camburi,11661-760,Rua Doutor Alberto da Silva Ramos
Loteamento Balneário Massaguaçu,11677-881,Rua Maria das Dores Veloso de Medeiros
Loteamento Balneário Massaguaçu,11677-882,Rua Seis
Loteamento Balneário Massaguaçu,11677-883,Rua Sete
Loteamento Balneário Massaguaçu,11677-884,Rua Oito
Loteamento Balneário Rio do Mar,11668-192,Rua Pedro Caetano do Amaral
Loteamento Bosque dos Guanandis,11669-170,Rua Guilherme Gomes de Carvalho
Loteamento Bosque dos Guanandis,11669-291,Rua Joaquim Ramos
Loteamento Bosque dos Guanandis,11669-293,Rua Renan Moreira Orizo
Loteamento Bosque dos Guanandis,11669-294,Rua Rogério Silva Pinto
Loteamento Bosque dos Guanandis,11669-295,Rua Clara de Carlos Freitas
Loteamento Bosque dos Guanandis,11669-296,Rua Roberto Ramos das Mercês
Loteamento Estância Mirante de Caraguatatuba,11671-310,Rua Doze
Loteamento Estância Mirante de Caraguatatuba,11671-311,Rua Um
Loteamento Estância Mirante de Caraguatatuba,11671-313,Rua Dois
Loteamento Estância Mirante de Caraguatatuba,11671-314,Rua Três
Loteamento Estância Mirante de Caraguatatuba,11671-315,Rua Quatro
Loteamento Estância Mirante de Caraguatatuba,11671-316,Rua Cinco
Loteamento Estância Mirante de Caraguatatuba,11671-317,Rua Seis
Loteamento Estância Mirante de Caraguatatuba,11671-318,Rua Sete
Loteamento Estância Mirante de Caraguatatuba,11671-319,Rua Oito
Loteamento Estância Mirante de Caraguatatuba,11671-320,Rua Dezesseis
Loteamento Estância Mirante de Caraguatatuba,11671-321,Rua Dez
Loteamento Estância Mirante de Caraguatatuba,11671-326,Avenida Joaquina Engracia Soares Tidioli
Loteamento Estância Mirante de Caraguatatuba,11671-330,Rua Vinte
Loteamento Estância Mirante de Caraguatatuba,11671-340,Rua Vinte e Quatro
Loteamento Estância Mirante de Caraguatatuba,11671-360,Rua Vinte e Dois
Loteamento Estância Mirante de Caraguatatuba,11671-370,Rua Dezoito
Loteamento Estância Mirante de Caraguatatuba,11671-380,Rua Quatorze
Loteamento Ibisco,11677-199,Rua Antonio Alécio Pigosso
Loteamento Ibisco,11677-201,Rua Sebastião Alves dos Santos
Loteamento Ibisco,11677-211,Rua Francisco de Assis Rodrigues Alves
Loteamento Jardim Aruan,11665-380,Avenida Durvalina Bueno
Loteamento Jardim Aruan,11665-460,Rua Rotary
Loteamento Jardim Aruan,11665-470,Rua União das Américas
Loteamento Jardim Aruan,11665-490,Rua Marquês de Herval
Loteamento Jardim Aruan,11665-500,Avenida Almirante Tamandaré
Loteamento Jardim das Palmeiras,11666-252,Avenida Luiz Eduardo Aulicino
Loteamento Jardim das Palmeiras,11666-253,Rua M
Loteamento Jardim das Palmeiras,11666-256,Rua J
Loteamento Jardim Primavera,11668-110,Rua Lindolfo Batista de Souza
Loteamento Jardim Primavera,11668-135,Rua Benedito Miguel dos Santos
Loteamento Jardim Primavera,11668-146,Rua Maria Soares de Sá
Loteamento Morada do Mar,11677-590,Rua Cidade de Adamantina
Loteamento Morada do Mar,11677-600,Rua Cidade de Andradina
Loteamento Morada do Mar,11677-610,Rua Cidade de Assis
Loteamento Morada do Mar,11677-620,Rua Cidade de Capivari
Loteamento Morada do Mar,11677-630,Avenida Donato Mascarenhas Filho
Loteamento Morada do Mar,11677-640,Rua Cidade de Guaíra
Loteamento Morada do Mar,11677-650,Rua Cidade de Ibitinga
Loteamento Morada do Mar,11677-660,Rua Cidade de Iperoig
Loteamento Morada do Mar,11677-670,Rua Cidade de Itapetininga
Loteamento Morada do Mar,11677-680,Rua Cidade de Itapeva
Loteamento Morada do Mar,11677-690,Rua Cidade de Itapira
Loteamento Morada do Mar,11677-700,Rua Cidade de Itatiaia
Loteamento Morada do Mar,11677-710,Rua Cidade de Itarirí
Loteamento Morada do Mar,11677-720,Rua Cidade de Itaquaquecetuba
Loteamento Morada do Mar,11677-730,Rua Cidade de Itu
Loteamento Morada do Mar,11677-740,Rua Cidade de Ituverava
Loteamento Morada do Mar,11677-750,Avenida Luiz Saito
Loteamento Morada do Mar,11677-760,Rua Cidade de Miracatú
Loteamento Morada do Mar,11677-770,Rua Cidade de Palmital
Loteamento Morada do Mar,11677-780,Rua Cidade de Piedade
Loteamento Morada do Mar,11677-790,Rua Cidade de Pontal
Loteamento Morada do Mar,11677-800,Avenida Yvone Yoneka Nakanishi
Loteamento Portal dos Pássaros,11668-681,Rua Um
Loteamento Portal dos Pássaros,11668-682,Rua Dois
Loteamento Portal dos Pássaros,11668-683,Rua Três
Loteamento Portal dos Pássaros,11668-684,Rua Quatro
Loteamento Portal dos Pássaros,11668-685,Rua Cinco
Loteamento Portal dos Pássaros,11668-686,Rua Seis
Loteamento Recanto Perequê,11668-321,Rua José Benedito
Loteamento Recanto Perequê,11668-335,Rua Raimundo Fernandes Vaz
Loteamento Recanto Sandra,11662-740,Rua Hiram Mendes
Loteamento Recanto Sandra,11662-743,Rua Matilde Veríssimo Mendes
Loteamento Recanto Sandra,11662-745,Rua Marcos Antônio Amaral
Loteamento Recanto Sandra,11662-750,Rua Doutor Carlos Adalberto Garcia
Loteamento Recanto Sandra,11662-760,Rua Ronan Carvalho da Silva
Loteamento Recreio Juqueriquerê,11667-795,Rua Nair Aparecida dos Santos
Loteamento Recreio Juqueriquerê,11669-450,Rua Benedito Marcos de Souza
Loteamento Recreio Juqueriquerê,11669-460,Travessa Manoel Calixto de Souza
Loteamento Recreio Juqueriquerê,11671-030,Rua Alexandre Costa Pinto
Loteamento Recreio Juqueriquerê,11671-050,Rua José Fabrette
Loteamento Recreio Juqueriquerê,11671-051,Rua José Lopes de Andrade
Loteamento Recreio Juqueriquerê,11671-052,Rua Oito
Loteamento Recreio Juqueriquerê,11671-053,3ª Travessa da Salustiano Rodrigues Ferreira
Loteamento Recreio Juqueriquerê,11671-054,4ª Travessa da Salustiano Rodrigues Ferreira
Loteamento Recreio Juqueriquerê,11671-060,Rua Ademar Fida
Loteamento Recreio Juqueriquerê,11671-365,Rua Geralda Conceição Alves
Loteamento Residencial Nova Caraguá I,11669-471,Rua Antonio Marcelo
Loteamento Residencial Nova Caraguá I,11669-472,Rua Edmur Domiciano
Loteamento Residencial Nova Caraguá I,11669-473,Rua Hilario Garcia Gomes
Loteamento Residencial Nova Caraguá I,11669-474,Rua Miguel Lopes Gutierre Filho
Loteamento Residencial Nova Caraguá II,11669-331,Rua Marcelo dos Santos
Loteamento Residencial Nova Caraguá II,11669-332,Rua Gilson Pereira de Souza
Loteamento Residencial Nova Caraguá II,11669-333,Rua Nelson Pires
Loteamento Residencial Nova Caraguá II,11669-334,Rua Maria Francisca Ferreira
Loteamento Residencial Nova Caraguá II,11669-335,Rua João Vitor Simonetti de Moraes
Loteamento Residencial Nova Caraguá II,11669-336,Rua Luiz Antonio Camargo
Loteamento Residencial Nova Caraguá II,11669-337,Rua Margarida Ezequiel dos Santos
Loteamento Residencial Nova Caraguá II,11669-338,Rua Marcelo de Siqueira Camargo
Loteamento Residencial Nova Caraguá II,11669-339,Rua Benedito Galdino da Silva
Loteamento Residencial Nova Caraguá II,11669-341,Rua Otacilio Francisco da Silva
Loteamento Residencial Nova Caraguá II,11669-342,Rua Gerson Cruz
Loteamento Residencial Nova Caraguá II,11669-343,Rua Benedicta Aparecida de Lima Pereira
Loteamento Residencial Nova Caraguá II,11669-344,Rua Pedro Custódio de Carvalho
Loteamento Residencial Nova Caraguá II,11669-345,Rua Benedicto Baptista Nobre
Loteamento Residencial Nova Caraguá II,11669-346,Rua José Menino Aparecido Rocha
Loteamento Residencial Nova Caraguá II,11669-347,Rua José Benedito dos Santos
Loteamento Residencial Nova Caraguá II,11669-348,Rua Olivio Francisco Isidoro
Loteamento Residencial Nova Caraguá II,11669-349,Rua Pedro Marcello dos Santos
Loteamento Residencial Nova Caraguá II,11669-351,Rua Antônio Policarpo Galdino
Loteamento Residencial Nova Caraguá II,11669-352,Rua Custodia Gomes de Moraes Souza
Loteamento Residencial Nova Caraguá II,11669-353,Rua Egídio Soares dos Santos
Loteamento Residencial Nova Caraguá II,11669-354,Rua João Manoel Pereira dos Santos
Loteamento Residencial Nova Caraguá II,11669-355,Rua Laudario Alvaro Ferreira
Loteamento Residencial Nova Caraguá II,11669-356,Rua Valéria Borgethe
Loteamento Residencial Nova Caraguá II,11669-357,Rua Jorge Matsugueta
Loteamento Residencial Nova Caraguá II,11669-358,Avenida João Carlos Balio
Loteamento Rio Marinas,11671-390,Rua Anathália Fragoso
Loteamento Rio Marinas,11671-391,Rua Mário Maziero
Loteamento Rio Marinas,11671-392,Rua Moacyr Fragoso
Loteamento Rio Marinas,11671-393,Rua José Francisco dos Santos
Loteamento Rio Marinas,11671-394,Rua Seis
Loteamento Rio Marinas,11671-396,Rua Cinco
Loteamento Rio Marinas,11671-397,Rua Antonia Pimentel Cabral dos Santos
Loteamento Rio Marinas,11671-398,Rua Quatro
Loteamento Rio Marinas,11671-399,Rua Sete
Loteamento Roteiro do Sol,11677-581,Rua Miguel Victor Basile
Loteamento Roteiro do Sol,11677-582,Rua 4
Loteamento Roteiro do Sol,11677-583,Rua Raymundo Soban
Loteamento Sato,11671-265,Rua Helena Gallardi Polillo
Loteamento Sato,11671-266,Rua Jair da Silva Amorim
Loteamento Sato,11671-268,Rua Francisco Polillo Júnior
Loteamento Sato,11671-270,Rua E
Loteamento Sato,11671-280,Rua Mauro do Nascimento Alves
Loteamento Vila Indaiá,11665-315,Avenida Belém
Loteamento Villagio Verde Mare,11677-015,Rua Professor Lúcio Jacinto dos Santos
Loteamento Villagio Verde Mare,11677-016,Rua Victor Moises Kfouri
Loteamento Villagio Verde Mare,11677-533,Rua Celso Vitta
Loteamento Villagio Verde Mare,11677-535,Rua Tenente Valdemar Costa
Mar Verde,11677-840,Rua Anchôva
Mar Verde,11677-841,Rua Dourado
Mar Verde,11677-842,Rua Betara
Mar Verde,11677-843,Rua Peixe Espada
Mar Verde,11677-844,Rua Garoupa
Mar Verde,11677-845,Rua Linguado
Mar Verde,11677-846,Rua Manjuba
Mar Verde,11677-847,Rua Mero
Mar Verde,11677-848,Rua Guaivira
Mar Verde,11677-849,Rua Badejo
Mar Verde,11677-850,Rua Carapau
Mar Verde,11677-851,Rua Arraia
Mar Verde,11677-852,Rua Sabelha
Mar Verde,11677-853,Rua Bagre
Mar Verde,11677-854,Rua Roncador
Mar Verde,11677-855,Rua Olhete
Mar Verde,11677-856,Rua Pampo
Mar Verde,11677-857,Rua Cocoroca
Mar Verde,11677-858,Rua Robalo
Mar Verde,11677-859,Rua Sargo
Mar Verde,11677-860,Rua Tainha
Mar Verde,11677-861,Rua Pescada
Mar Verde,11677-863,Rua Cação
Mar Verde II,11677-809,Rua Merluza
Mar Verde II,11677-810,Avenida Dois
Mar Verde II,11677-820,Rua Golfinho
Mar Verde II,11677-821,Rua Xareu
Mar Verde II,11677-822,Rua Caratinga
Mar Verde II,11677-823,Rua 17
Mar Verde II,11677-824,Rua Sardinha
Mar Verde II,11677-825,Rua 18
Mar Verde II,11677-826,Rua Frade
Mar Verde II,11677-827,Rua Corvina
Mar Verde II,11677-828,Rua Meluza
Mar Verde II,11677-829,Rua Parati
Mar Verde II,11677-830,Rua Namorado
Mar Verde II,11677-831,Rua Barracuda
Mar Verde II,11677-832,Rua Trilha
Mar Verde II,11677-833,Rua Pargo
Mar Verde II,11677-834,Rua Carapeva
Mar Verde II,11677-835,Rua Bonito
Mar Verde II,11677-836,Rua Vermelho
Mar Verde II,11677-837,Rua Atum
Martim de Sá,11662-000,Avenida Doutor Aldino Schiavi
Martim de Sá,11662-035,Rua Dom Pedro I
Martim de Sá,11662-045,Travessa Massaranduba
Martim de Sá,11662-055,Avenida Nossa Senhora do Brasil
Martim de Sá,11662-100,Avenida Irineu Mendes de Souza
Martim de Sá,11662-160,Alameda das Magnólias
Martim de Sá,11662-200,Avenida Martin de Sá
Martim de Sá,11662-210,Rua Manoel Henrique de Oliveira
Martim de Sá,11662-301,Travessa A
Martim de Sá,11662-335,Travessa Guilhermina Antunes Nastari
Martim de Sá,11662-380,Avenida do Canal
Martim de Sá,11662-400,Avenida Horácio Rodrigues
Martim de Sá,11662-401,Praça Padre José Porfírio de Deus Filho
Martim de Sá,11662-460,Rua Dom Jerônimo de Ataide
Martim de Sá,11662-470,Rua Francisco Nunes Martinho Deca
Martim de Sá,11662-480,Rua Alexandre de Souza Freire
Martim de Sá,11662-490,Travessa Regiana
Martim de Sá,11662-500,Rua Ana Francisca Fachini
Martim de Sá,11662-510,Rua Circular Um
Martim de Sá,11662-511,Rua Shirley dos Reis Arida
Martim de Sá,11662-515,Praça Antônio Fachini
Martim de Sá,11662-520,Rua Itapoan
Martim de Sá,11662-521,Rua Dorly de Oliveira
Martim de Sá,11662-522,Rua Um
Martim de Sá,11662-523,Rua Dois
Martim de Sá,11662-530,Travessa Águeda Lopes Ruiz
Martim de Sá,11662-540,Rua Luiz Lyria Lopes
Martim de Sá,11662-550,Rua Luiz Lyria Martinez
Martim de Sá,11662-560,Travessa Cambuí
Martim de Sá,11662-570,Rua Pitangueiras
Massaguaçu,11677-000,Rodovia Caraguá Ubatuba
Massaguaçu,11677-001,Rua Benedito Francisco Santos
Massaguaçu,11677-030,Rua Sidnei de Oliveira Andrade
Massaguaçu,11677-033,Avenida Massaguaçu
Massaguaçu,11677-050,Travessa Antônio Camargo
Massaguaçu,11677-052,Travessa Ernani Peixoto
Massaguaçu,11677-053,Rua Carlos Alberto
Massaguaçu,11677-055,Rua Thomaz Totti
Massaguaçu,11677-060,Avenida Maria Carlota
Massaguaçu,11677-061,Rua Irmã Lucília
Massaguaçu,11677-065,Travessa Pescador Dito Fernandez
Massaguaçu,11677-066,Travessa Pescador Capuava
Massaguaçu,11677-067,Travessa Pescador Lulú
Massaguaçu,11677-068,Rua Cinco
Massaguaçu,11677-070,Avenida Ermelinda Araújo de Lima
Massaguaçu,11677-071,Rua José Theodoro de Azevedo
Massaguaçu,11677-080,Rua Pedro Leandro
Massaguaçu,11677-081,Rua Joana Felipe Soares
Massaguaçu,11677-082,Travessa Maria Sebastiana Braz
Massaguaçu,11677-089,Rua Sertão dos Tourinhos
Massaguaçu,11677-090,Rua Pescador Manoel Marcondes Sodré
Massaguaçu,11677-091,Rua Dezidério de Oliveira Filho
Massaguaçu,11677-100,Rua Sebastiana Felício de Oliveira
Massaguaçu,11677-101,Rua Professora Michela Cristina Fernandes Neves
Massaguaçu,11677-110,Rua Angra dos Reis
Massaguaçu,11677-111,Rua Parati
Massaguaçu,11677-140,Rua Fortaleza
Massaguaçu,11677-145,Rua Galdino Adolfo de Paula
Massaguaçu,11677-146,Rua Iracema Pereira da Silva
Massaguaçu,11677-150,Travessa Higino Custódio
Mirante da Orla,11676-100,Rua Garça
Mirante da Orla,11676-110,Rua Gaivotas
Mirante da Orla,11676-111,Rua Mirante da Orla
Mirante da Orla,11676-120,Rua Martim Pescador
Mirante da Orla,11676-130,Rua Rouxinol
Mirante da Orla,11676-140,Rua Paturí
Mirante da Orla,11676-150,Rua Pelicano
Mirante da Orla,11676-160,Rua Colibrí
Morro do Algodão,11671-000,Rua Guilherme de Almeida
Morro do Algodão,11671-001,Rua Belmiro Cabral
Morro do Algodão,11671-002,Rua Laura Cristina Pontes
Morro do Algodão,11671-003,Rua Antonio Bucci Filho
Morro do Algodão,11671-010,Rua Martins Fontes
Morro do Algodão,11671-020,Rua Olavo Bilac
Morro do Algodão,11671-023,Rua Manoel Soler Heredia
Morro do Algodão,11671-025,Viela Antônio Pontes
Morro do Algodão,11671-035,Rua Assembléia
Morro do Algodão,11671-040,Rua Azaleia
Morro do Algodão,11671-045,Rua Bahia
Morro do Algodão,11671-046,Travessa Santo Antônio
Morro do Algodão,11671-063,Praça Simone de Oliveira Pinto
Morro do Algodão,11671-065,Rua Professora Nair Campos Salles de Oliveira
Morro do Algodão,11671-070,Rua Sabrina Barbosa dos Santos
Morro do Algodão,11671-075,Rua Stefan Marton
Morro do Algodão,11671-080,Rua Joaquim Marques Batista de Leão
Morro do Algodão,11671-090,Rua Alberico da Silva Gordo
Morro do Algodão,11671-100,Rua José Alves dos Santos
Morro do Algodão,11671-110,Rua Santo Agostinho
Morro do Algodão,11671-120,Rua São Francisco
Morro do Algodão,11671-130,Rua São Dimas
Morro do Algodão,11671-140,Rua São Judas Tadeu
Morro do Algodão,11671-146,7ª Travessa da São Judas Tadeu
Morro do Algodão,11671-147,3ª Travessa da São Judas Tadeu
Morro do Algodão,11671-148,Rua Dez
Morro do Algodão,11671-150,Rua Santa Rita
Morro do Algodão,11671-160,Travessa Santa Rita
Morro do Algodão,11671-170,Rua São José
Morro do Algodão,11671-190,Travessa Santa Martha
Park Imperial,11678-090,Rua dos Manacás
Park Imperial,11678-091,Rua dos Cambucis
Park Imperial,11678-092,Rua das Jaboticabeiras
Park Imperial,11678-093,Rua das Canafístulas
Park Imperial,11678-094,Rua dos Guapuruvús
Park Imperial,11678-095,Rua das Cabriúvas
Park Imperial,11678-096,Rua dos Cambarás
Park Imperial,11678-097,Rua das Perobas
Park Imperial,11678-098,Rua das Sibipirunas
Park Imperial,11678-099,Rua das Caviúnas
Park Imperial,11678-100,Rua das Copaíbas
Park Imperial,11678-101,Rua dos Jatobás
Park Imperial,11678-102,Rua das Embaúbas
Park Imperial,11678-103,Rua dos Mulungús
Park Imperial,11678-104,Rua dos Palmiteiros
Park Imperial,11678-105,Rua das Goiabeiras
Park Imperial,11678-106,Rua das Arueiras
Park Imperial,11678-107,Rua dos Alecrins
Park Imperial,11678-108,Rua das Guabirobas
Park Imperial,11678-109,Rua dos Jequitibás
Park Imperial,11678-110,Rua dos Ingazeiros
Park Imperial,11678-111,Rua dos Angicos
Park Imperial,11678-112,Rua das Guajuviras
Park Imperial,11678-114,Rua das Guaiçaras
Park Imperial,11678-116,Rua dos Tucaneiros
Parque Balneário Maria Helena,11668-001,Rua Luiz Carlos Siqueira
Parque Balneário Maria Helena,11668-005,Rua Benedito Fortunato
Parque Balneário Maria Helena,11668-010,Avenida Josefa Gonçalves de Almeida
Parque Balneário Maria Helena,11668-011,Rua Benedito Miguel de Oliveira
Parque Balneário Maria Helena,11668-015,Avenida Pedro Gonçalves Leite
Parque Balneário Maria Helena,11668-143,Avenida Ítalo Mazzucca
Parque Balneário Poiares,11665-350,Avenida General Osório
Parque Balneário Poiares,11665-360,Rua Evaristo da Veiga
Parque Balneário Poiares,11665-370,Rua Benjamin Constant
Parque Balneário Poiares,11665-390,Rua Almirante Barroso
Parque Balneário Poiares,11665-400,Rua Senador Feijó
Parque Balneário Poiares,11665-410,Rua Duarte da Costa
Parque Balneário Poiares,11665-420,Rua Mathias de Albuquerque
Parque Balneário Poiares,11665-440,Rua Henrique Dias
Parque Balneário Poiares,11665-510,Rua Cláudio Manoel da Costa
Parque Balneário Poiares,11665-511,Rua Afonso Celso de Sena Aguiar
Parque Balneário Poiares,11665-520,Rua Alvarenga Peixoto
Parque Balneário Poiares,11665-530,Rua Tomaz Antônio Gonzaga
Pegorelli,11667-825,Estrada dos Pássaros
Pegorelli,11667-827,Estrada do Sítio Tucumã
Pegorelli,11667-828,Rua Sebastião Monteiro de Andrade
Pegorelli,11667-829,Rua Benedicto Cruz
Pegorelli,11667-830,Avenida Avelino Alves dos Santos
Pegorelli,11667-831,Avenida Carlos Roberto Magalhães Reis
Pegorelli,11667-832,Travessa Santo Antonio
Pegorelli,11667-833,Travessa Dois da Rua Caminho Grande
Pegorelli,11667-834,Rua Antônio de Souza Santos
Pegorelli,11667-835,Estrada da Enseada
Pegorelli,11667-836,Rua Lucila Medeiros
Pegorelli,11667-837,Rua Dois
Pegorelli,11667-838,Rua Três
Pegorelli,11667-839,Rua Circular
Pegorelli,11667-840,Travessa Um
Pegorelli,11667-841,Travessa Dois
Pegorelli,11667-842,Travessa Caminho Grande
Pegorelli,11667-843,Rua Jorge de Freitas Cassiano
Pegorelli,11667-844,Rua Benedito Souza Cassiano
Pegorelli,11667-846,Rua Rio Amazonas
Pegorelli,11667-848,Rua Rio Negro
Pegorelli,11667-850,Rua Manoel Oliveira dos Santos
Perequê Mirim,11668-060,Rua Maria Firmina da Paz
Perequê Mirim,11668-075,Rua Aristóteles Francisco de Sá
Perequê Mirim,11668-100,Rua Benedito Jacinto do Prado
Perequê Mirim,11668-150,Rua Primeiro de Maio
Perequê Mirim,11668-175,Rua Valmir Alves dos Reis
Perequê Mirim,11668-207,Rua Yoshizo Shibata
Perequê Mirim,11668-300,Avenida Orlando Alves de Souza
Perequê Mirim,11668-301,Travessa Um da Orlando Alves de Souza
Perequê Mirim,11668-302,Travessa Dois da Orlando Alves de Souza
Perequê Mirim,11668-303,Rua Itapema
