neighbourhood,postalcode,street
Perequê Mirim,11668-304,Rua José Fernandes Nunes
Perequê Mirim,11668-305,Rua Santa Bárbara
Perequê Mirim,11668-306,Rua Três
Perequê Mirim,11668-307,Travessa Dois da Rua Dom João VI
Perequê Mirim,11668-308,Rua Elvira Antonieta Steffen
Perequê Mirim,11668-309,Travessa Leonídio França Oliveira
Perequê Mirim,11668-310,Rua Nossa Senhora Aparecida
Perequê Mirim,11668-311,Rua Clemente Gomes Ferreira
Perequê Mirim,11668-312,Rua Daniel Gomes Ribeiro
Perequê Mirim,11668-313,Rua Apolônia Silva Santos
Perequê Mirim,11668-314,Rua Amparo
Perequê Mirim,11668-315,Rua São Roque
Perequê Mirim,11668-316,Rua Benedicto Antunes dos Santos
Perequê Mirim,11668-317,Rua Elisiário Antonio de Souza
Perequê Mirim,11668-318,Rua Santo Ambrosio
Perequê Mirim,11668-319,Rua Ypê
Perequê Mirim,11668-320,Rua Santa Inez
Perequê Mirim,11668-325,Rua Santo Ambrósio
Perequê Mirim,11668-326,Travessa Abilio Pereira de Andrade
Perequê Mirim,11668-330,Rua Dom Antônio Felipe Camarão
Poiares,11673-000,Avenida Marechal Floriano Peixoto
Poiares,11673-040,Rua José Miranda de Faria
Poiares,11673-050,Travessa Lindório da Silva
Poiares,11673-051,Travessa José Miranda de Faria
Poiares,11673-055,Praça Noé Teixeira Rocha
Poiares,11673-085,Travessa Benedita Francisca da Silva Gonçalves
Poiares,11673-093,Praça José Lima da Silva
Poiares,11673-100,Rua Eliete Paz da Rocha
Poiares,11673-110,Rua João Café Filho
Poiares,11673-120,Rua Nilo Peçanha
Poiares,11673-130,Rua Mem de Sá
Poiares,11673-140,Rua Martim Afonso de Souza
Poiares,11673-150,Rua Tomé de Souza
Poiares,11673-160,Rua Marechal Arthur Costa e Silva
Poiares,11673-170,Rua Hermes da Fonseca
Poiares,11673-180,Rua Getúlio Vargas
Poiares,11673-190,Rua José do Patrocínio
Poiares,11673-200,Avenida Prudente de Moraes
Poiares,11673-210,Rua Wenceslau Braz
Poiares,11673-220,Rua Epitácio Pessoa
Poiares,11673-230,Rua Arthur Bernardes
Poiares,11673-231,Avenida Marginal Esquerda
Poiares,11673-232,Rua A
Poiares,11673-240,Rua Dom João VI
Poiares,11673-250,Rua Joaquim José da Silva Xavier
Poiares,11673-260,Rua Dom Pedro I
Poiares,11673-270,Rua Dom Pedro II
Poiares,11673-280,Rua José Bonifácio de Andrada e Silva
Poiares,11673-290,Rua Pedro Álvares Cabral
Poiares,11673-300,Rua Rui Barbosa
Pontal de Santa Marina,11672-000,Avenida dos Eder Silva Rodrigues Alves
Pontal de Santa Marina,11672-010,Praça Sílvio Luiz dos Santos
Pontal de Santa Marina,11672-020,Rua do Contorno
Pontal de Santa Marina,11672-030,Avenida Sargento Raul Fernandes Neves Neto
Pontal de Santa Marina,11672-031,Avenida José Herculano
Pontal de Santa Marina,11672-032,Rua Prudencia Sanches Froile Mansano
Pontal de Santa Marina,11672-040,Avenida Francisco Garrido
Pontal de Santa Marina,11672-050,Avenida Albert Charles Hanciau
Pontal de Santa Marina,11672-060,Avenida Ridsdale Harri Brawn
Pontal de Santa Marina,11672-061,Rua A
Pontal de Santa Marina,11672-063,Rua B
Pontal de Santa Marina,11672-070,Rua Dezenove
Pontal de Santa Marina,11672-080,Rua Engenheiro Nilton de Oliveira e Silva
Pontal de Santa Marina,11672-090,Rua Sady Gomes de Almeida
Pontal de Santa Marina,11672-100,Rua Antônio Carlos Quental Simas
Pontal de Santa Marina,11672-110,Rua Professor João Baptista Gardelin
Pontal de Santa Marina,11672-120,Rua Carlos Lunardi
Pontal de Santa Marina,11672-130,Rua Ariosto Buller Souto
Pontal de Santa Marina,11672-140,Rua Benedito Roque dos Santos Filho
Pontal de Santa Marina,11672-141,Rua Nancib Rachid
Pontal de Santa Marina,11672-150,Rua Ministro Dilson Funaro
Pontal de Santa Marina,11672-160,Rua Salathiel Gonçalves de Castro Filho
Pontal de Santa Marina,11672-170,Rua Prudêncio Baeta
Pontal de Santa Marina,11672-171,Rua Semaan Yossef Alouan
Pontal de Santa Marina,11672-180,Rua Evaldo Cuba
Pontal de Santa Marina,11672-190,Rua Álvaro Theodoro da Cruz
Pontal de Santa Marina,11672-200,Rua Izaira Agostinho da Silva
Pontal de Santa Marina,11672-201,Rua Nove
Pontal de Santa Marina,11672-210,Rua Yolanda Gozzi Rodrigues
Pontal de Santa Marina,11672-220,Rua Cândida dos Prazeres de Moura
Portal da Fazendinha,11676-250,Rua das Azaléias
Portal da Fazendinha,11676-260,Avenida Jardim
Portal da Fazendinha,11676-270,Rua João Guimarães Rosa
Portal da Fazendinha,11676-280,Rua das Tulipas
Portal da Fazendinha,11676-300,Rua das Papoulas
Portal da Fazendinha,11676-310,Rua das Orquídeas
Portal da Fazendinha,11676-320,Rua dos Miosótis
Portal da Fazendinha,11676-330,Rua Dom Antônio Luiz de Souza
Portal da Fazendinha,11676-340,Rua dos Lilases
Portal da Fazendinha,11676-350,Rua Antônio de Souza Menezes
Portal da Fazendinha,11676-351,Rua Torquatro Cândido Portinari
Portal da Fazendinha,11676-360,Rua das Hortências
Portal da Fazendinha,11676-370,Rua das Gardênias
Portal da Fazendinha,11676-380,Rua dos Crisântemos
Portal da Fazendinha,11676-390,Rua Carmélias
Portal do Patrimonium,11677-115,Rua Diogo de Mendonça Furtado
Portal do Patrimonium,11677-125,Rua Curitiba
Portal do Patrimonium,11677-130,Rua Dom Lourenço de Almada
Portal do Patrimonium,11677-135,Alameda José Jeraissati
Portal do Patrimonium,11677-143,Rua Adhemar Ribeiro
Portal do Patrimonium,11677-185,Rua Izaguir Anello
Portal do Patrimonium,11677-350,Rua Pedro Aleixo
Portal do Patrimonium,11677-355,Rua São José de Santa Rita
Portal do Patrimonium,11677-358,Rua Antonio de Salema
Portal do Patrimonium,11677-359,Rua Pedro Celestino Pereira
Portal do Patrimonium,11677-364,Rua Cipriano José Barata de Almeida
Portal do Patrimonium,11677-369,Rua Luiz Cesar de Menezes
Portal do Patrimonium,11677-370,Rua Pedro Américo de Figueiredo e Melo
Portal do Patrimonium,11677-371,Rua Luiz Felipe Saldanha da Gama
Portal do Patrimonium,11677-372,Rua Dom Luiz de Souza
Portal do Patrimonium,11677-373,Rua Francisco Silviano de Almeida Brandão
Portal do Patrimonium,11677-374,Rua General João Rodrigues de Vasconcelos
Portal do Patrimonium,11677-376,Rua General Francisco Barreto
Portal do Patrimonium,11677-378,Rua Diogo de Menezes e Siqueira
Portal do Patrimonium,11677-379,Rua Diogo Luiz de Oliveira
Portal do Patrimonium,11677-381,Rua Carlos Drumond de Andrade
Portal do Tabatinga,11679-199,Rua Nove
Portal do Tabatinga,11679-200,Avenida Eurico Gaspar Dutra
Portal do Tabatinga,11679-201,Rua Treze
Portal do Tabatinga,11679-202,Rua Onze
Portal do Tabatinga,11679-203,Rua Dez
Portal do Tabatinga,11679-204,Rua Sete
Portal do Tabatinga,11679-205,Rua Seis
Portal do Tabatinga,11679-206,Rua Cinco
Portal do Tabatinga,11679-207,Rua Oito
Portal do Tabatinga,11679-208,Rua Quatro
Portal do Tabatinga,11679-209,Rua Três
Praia da Mococa,11678-160,Rua Santa Paulina
Praia da Mococa,11678-162,Rua Boqueirão
Praia da Mococa,11678-164,Rua Frei Galvão
Praia da Mococa,11678-166,Rua São Roque
Praia das Palmeiras,11666-250,Avenida Gaspar de Souza
Praia das Palmeiras,11666-251,Avenida Manoel Avelino dos Santos
Praia das Palmeiras,11666-255,Rua Alice Cortes Cintra
Praia das Palmeiras,11666-260,Rua São Paulo
Praia das Palmeiras,11666-265,Rua Antônio Pereira Garcia
Praia das Palmeiras,11666-270,Rua Marília
Praia das Palmeiras,11666-280,Rua João Blau
Praia das Palmeiras,11666-285,Rua Marilene Bueno
Praia das Palmeiras,11666-290,Rua Botucatu
Praia das Palmeiras,11666-295,Alameda dos Golfinhos Verdes
Praia das Palmeiras,11666-310,Rua Ribeirão Preto
Praia das Palmeiras,11666-315,Rotatória Antônia Candelária Campregher Romano
Praia das Palmeiras,11666-320,Rua Campinas
Praia das Palmeiras,11666-330,Rua Itu
Praia das Palmeiras,11666-340,Rua Amélia
Praia das Palmeiras,11666-350,Rua Jaú
Praia das Palmeiras,11666-360,Rua Antônio Rodrigues de Arzão
Praia das Palmeiras,11666-370,Rua Júlio Lazarini
Praia das Palmeiras,11666-380,Rua Carlos Ribeiro Justiniano Chagas
Praia das Palmeiras,11666-395,Rua Urubatão
Praia das Palmeiras,11666-400,Rua São Jorge
Praia das Palmeiras,11666-410,Rua das Palmeiras
Praia das Palmeiras,11666-420,Rua Dona Carolina
Praia das Palmeiras,11666-430,Rua Dom Fernando Mascarenhas
Praia das Palmeiras,11666-440,Rua São Jerônimo
Praia das Palmeiras,11666-450,Rua Pai Felício
Praia das Palmeiras,11666-460,Rua Silmar Fernandes
Praia das Palmeiras,11666-470,Rua Sílvio Fernandes
Praia das Palmeiras,11666-480,Rua José de Almeida
Praia das Palmeiras,11666-490,Rua João Ribeiro
Prainha,11661-570,Avenida Paulo Ferraz da Silva Porto
Prainha,11661-590,Rua Dom Antônio Barreiros
Prainha,11661-600,Rua Mato Grosso do Sul
Prainha,11661-601,Praça Getúlio Vargas Navarro Magalhães
Prainha,11661-610,Rua Niterói
Prainha,11661-690,Rua Nelson de Oliveira Silva
Prainha,11661-720,Praça Joaquim Pereira da Silva
Prainha,11661-770,Rua Sebastião Peres de Oliveira
Recanto Morro do Algodão,11671-145,Rua Roque Rodrigues de Souza
Recanto Morro do Algodão,11671-149,Rua João Pinto Abreu
Recanto Morro do Algodão,11671-180,Rua Edson dos Santos
Recanto Morro do Algodão,11671-406,Rua Davi Floriano de Oliveira
Recanto Som do Mar,11676-230,Avenida Pedro Buono
Recanto Som do Mar,11676-233,Rua João Paulo dos Santos
Recanto Som do Mar,11676-236,Rua Dois
Recanto Som do Mar,11676-239,Rua Três
Recanto Som do Mar,11676-241,Rua Luiz Ricardo da Fonseca Garmbis
Recanto Som do Mar,11676-242,Rua Quatro
Recanto Som do Mar,11676-245,Rua Doutor Walter Raucci
Recanto Som do Mar,11676-248,Rua Recanto Som do Mar
Recanto Som do Mar,11676-249,Rua José Linhares
Recanto Som do Mar,11676-415,Avenida Fênix
Rio Claro,11669-890,Estrada Armelinda Nonato Galino
Rio Claro,11669-891,Estrada Divina Rodrigues de Jesus
Rio do Ouro,11675-550,Rua da Ivone Xavier Gonçalves
Rio do Ouro,11675-553,Rua José Poloni
Rio do Ouro,11675-555,Rua Agostinho Figueredo
Rio do Ouro,11675-560,Rua Pedro Nolasco
Rio do Ouro,11675-570,Rua Benedito de Carvalho
Rio do Ouro,11675-573,Rua Augusto Vieira de Oliveira
Rio do Ouro,11675-575,Rua Benedito Fida
Rio do Ouro,11675-580,Rua Joaquim Procópio P. Salgado
Rio do Ouro,11675-585,Avenida João Lopes da Silva
Rio do Ouro,11675-590,Travessa Pedra da Onça
Rio do Ouro,11675-595,Rua da Piscina
Rio do Ouro,11675-600,Rua Procyon
Rio do Ouro,11675-602,Rua Ariete
Rio do Ouro,11675-605,Rua Rosa dos Ventos
Rio do Ouro,11675-610,Rua Benedita da Conceição Ferreira Costa
Rio do Ouro,11675-615,Rua Jorge Álvares Maciel
Rio do Ouro,11675-620,Avenida José Antônio de Sousa Castro Rodrigues
Rio do Ouro,11675-621,Rua Benedito José Barbosa
Rio do Ouro,11675-622,Rua Sete
Rio do Ouro,11675-623,Rua Francisco Edissom Guedes Saraiva
Rio do Ouro,11675-625,Rua Lorival de Oliveira
Rio do Ouro,11675-630,Avenida Três
Rio do Ouro,11675-660,Rua Magno Jesus Barbosa
Rio do Ouro,11675-670,Avenida Américo Timóteo do Rosário
Rio do Ouro,11675-675,Rua Jose dos Santos Ribeiro
Rio do Ouro,11675-676,Rua Benedito Ferreira da Silva
Rio do Ouro,11675-680,Rua Félix Jonas Amorim
Rio do Ouro,11675-682,Travessa Quatro
Rio do Ouro,11675-685,Rua Osny Ramos
Rio do Ouro,11675-700,Rua Bernardo Alexandre
Sumaré,11661-000,Avenida Arthur Costa Filho
Sumaré,11661-010,Rua Fernando Costa
Sumaré,11661-020,Rua Juvenal Fernandes
Sumaré,11661-030,Rua São José dos Campos
Sumaré,11661-040,Rua Caçapava
Sumaré,11661-050,Praça José Rabelo da Cunha
Sumaré,11661-060,Rua Taubaté
Sumaré,11661-070,Avenida Lucas Nogueira Garcez
Sumaré,11661-080,Rua Pindamonhangaba
Sumaré,11661-090,Rua Aparecida do Norte
Sumaré,11661-100,Rua Zacarias Arouca
Sumaré,11661-110,Rua Campos do Jordão
Sumaré,11661-120,Rua Guaratinguetá
Sumaré,11661-130,Travessa José Mendes Souza
Sumaré,11661-140,Rua Lorena
Sumaré,11661-150,Rua Cruzeiro
Sumaré,11661-155,Rua Benedito Pedro Nepomuceno
Sumaré,11661-200,Avenida Brasil
Sumaré,11661-201,Estrada Benedito Mendes de Souza
Sumaré,11661-205,Praça Maria Ângela Terreri Bevilacqua
Sumaré,11661-210,Rua Monsenhor Ascânio Brandão
Sumaré,11661-220,Rua Cachoeira Paulista
Sumaré,11661-310,Rua Ilha Bela
Sumaré,11661-315,Praça Eulália Ramos Fachini
Sumaré,11661-320,Rua Paraíbuna
Sumaré,11661-330,Rua São Sebastião
Sumaré,11661-340,Rua Ubatuba
Sumaré,11661-350,Rua Jacareí
Sumaré,11661-360,Rua Villa Lobos
Sumaré,11661-370,Rua Carlos Gomes
Tabatinga,11679-000,Rodovia Rio-Santos
Tabatinga,11679-010,Avenida Um
Tabatinga,11679-040,Praça da Fonte
Tabatinga,11679-050,Rua Antônio Apolinário Muniz
Tabatinga,11679-100,Rua Antônio Manuel de Oliveira Filho
Tabatinga,11679-150,Rua Benedito Serrado
Tabatinga,11679-151,Alameda Candido Mariano da Silva Rondon
Tabatinga,11679-210,Rua do Golfo
Tabatinga,11679-211,Rua Luiz Carro Gonzales
Tabatinga,11679-212,Rua Dois
Tabatinga,11679-250,Rua Feliciano dos Santos
Tabatinga,11679-300,Rua Galdino Muniz
Tabatinga,11679-310,Rua Manoel Pereira dos Santos
Tabatinga,11679-340,Avenida Afonso Arinos de Melo Franco
Tabatinga,11679-350,Rua João Manoel de Oliveira
Tabatinga,11679-400,Rua João Gomes
Tabatinga,11679-450,Rua Raimundo Muniz
Tabatinga,11679-500,Rua João Pereira dos Santos
Tabatinga,11679-550,Travessa Serafim Marques
Tabatinga,11679-552,Rua Dezenove
Tabatinga,11679-554,Rua Vinte
Tabatinga,11679-555,Rua Dezoito
Tabatinga,11679-556,Rua Fábio de Oliveira
Tabatinga,11679-557,Rua Dezesseis
Tabatinga,11679-558,Rua Quinze
Tabatinga,11679-559,Rua Doze
Tabatinga,11679-560,Rua Catorze
Tabatinga,11679-600,Rua Severino Muniz
Tabatinga,11679-900,Rodovia Rio-Santos\, s/n
Tabatinga,11679-901,Rodovia Rio-Santos\, s/n
Tinga,11674-410,Avenida Marechal Deodoro da Fonseca
Tinga,11674-420,Travessa Benedito Ezequiel Santana
Tinga,11674-425,Praça Alexandre Kasemiro
Tinga,11674-430,Rua Marisa
Tinga,11674-440,Rua Márcia
Tinga,11674-450,Rua Homera
Tinga,11674-460,Rua José Ferreira
Tinga,11674-470,Rua Denilza Sebastiana Santos
Tinga,11674-480,Rua Antônio dos Santos
Tinga,11674-481,Travessa Antônio dos Santos
Tinga,11674-490,Rua Maria Aparecida Oliveira Moreira
Tinga,11674-500,Rua Delfim Moreira da Costa Ribeiro
Tinga,11674-560,Rua Miguel Adelaide
Tinga,11674-590,Rua Marginal
Tinga,11674-602,Rua Mário Ricardo Pinto
Tinga,11674-630,Rua João Pinto Filho
Tinga,11674-640,Rua Filadelfo Reis
Tinga,11674-650,Rua João Silveira da Cruz
Tinga,11674-651,Travessa João Silveira da Cruz
Tinga,11674-652,Travessa Dois
Tinga,11674-660,Rua Joaquina Siqueira Ferreira
Tinga,11674-781,Travessa Baltazar Borba Gato
Tinga,11674-790,Avenida Benedito Reis
Tinga,11674-800,Rua Maria Cândida de Souza
Tinga,11674-801,Travessa Júlio César Ferreira
Tinga,11674-805,Praça Princesa Isabel
Tinga,11674-810,Rua Joaquim Antônio Rocha
Tinga,11674-820,Rua Primeiro Centenário dos Batistas
Tinga,11674-830,Rua João Péricles de Barros
Tinga,11674-835,Rua Antônio Silveira da Cruz
Travessão,11669-000,Avenida José da Costa Pinheiro Júnior
Travessão,11669-020,Rua Francisco Antônio Castro
Travessão,11669-030,Rua Luiz Nicolau Fagundes Varela
Travessão,11669-040,Rua Caraguatatuba
Travessão,11669-050,Rua José Ferreira dos Santos
Travessão,11669-070,Avenida Marginal Direita
Travessão,11669-090,Rua João Lopez
Travessão,11669-120,Rua Geraldo Gomes de Souza
Travessão,11669-155,Travessa Valmir Ales dos Reis
Travessão,11669-160,Rua Lagoinha
Travessão,11669-171,Rua Circular
Travessão,11669-172,Rua D
Travessão,11669-180,Rua Bartolomeu Lourenço Gusmão
Travessão,11669-200,Rua Eleno Jesus da Silva
Travessão,11669-210,Rua Juqueí
Travessão,11669-220,Rua Topolândia
Travessão,11669-230,Praça Jorge de Castro
Travessão,11669-240,Rua Perequê
Travessão,11669-250,Rua Henrique Maximiliano Coelho Neto
Travessão,11669-260,Rua Matias da Cunha
Travessão,11669-270,Rua Getulio Oliveira de Lima
Travessão,11669-280,Travessa Sebastião Cândido do Nascimento
Travessão,11669-281,Rua Ciclames
Travessão,11669-290,Rua Benedito Carlos da Silva
Travessão,11669-300,Rua Maria Alves Vaz
Travessão,11669-301,Avenida João Carlos Balio
Travessão,11669-302,Rua Olímpia Inácia de Moraes
Travessão,11669-307,Rua José Geraldo da Silva Filho
Travessão,11669-309,Rua Cleusa Fátima dos Santos
Travessão,11669-310,Travessa Maria Alves Vaz
Verde Mar,11677-120,Rua Carlota Márcio
Verde Mar,11677-231,Rua Um
Verde Mar,11677-232,Rua Dois
Verde Mar,11677-233,Rua Três
Verde Mar,11677-234,Rua Quatro
Verde Mar,11677-235,Rua Cinco
Verde Mar,11677-236,Rua Seis
Verde Mar,11677-237,Rua Sete
Verde Mar,11677-238,Rua Oito
Verde Mar,11677-239,Rua Nove
Verde Mar,11677-241,Rua Dez
Verde Mar,11677-242,Rua Onze
Verde Mar,11677-243,Rua Doze
Verde Mar,11677-244,Rua Treze
Verde Mar,11677-245,Rua Catorze
Verde Mar,11677-246,Rua Quinze
Verde Mar,11677-247,Rua Dezesseis
Verde Mar,11677-248,Rua Dezessete
Verde Mar,11677-249,Viela Um
Verde Mar,11677-251,Viela Dois
Verde Mar,11677-252,Viela Três
Verde Mar,11677-253,Viela Quatro
Verde Mar,11677-254,Viela Cinco
Verde Mar,11677-255,Viela Seis
Verde Mar,11677-256,Viela Sete
Verde Mar,11677-257,Viela Oito
Verde Mar,11677-258,Viela Nove
Verde Mar,11677-259,Viela Dez
Verde Mar,11677-261,Viela Onze
Verde Mar,11677-262,Viela Doze
Vila Atlântica,11662-010,Rua Fernão Dias Paes Leme
Vila Atlântica,11662-020,Rua dos Caetés
Vila Atlântica,11662-030,Rua dos Guaranis
Vila Atlântica,11662-040,Rua dos Tupinambás
Vila Atlântica,11662-050,Rua Manoel Borba Gato
Vila Atlântica,11662-060,Rua dos Carijós
Vila Atlântica,11662-080,Rua dos Tamoios
Vila Atlântica,11662-090,Rua Paschoal Paes de Araújo
Vila Atlântica,11662-130,Rua Domingos Jorge Velho
Vila Atlântica,11662-140,Rua dos Aimorés
Vila Atlântica,11662-150,Rua dos Goitacazes
Vila Atlântica,11662-170,Rua Antônio Raposo Tavares
Vila Atlântica,11662-180,Rua Nicolau Barreto
Vila Atlântica,11662-190,Rua dos Guaicurus
Vila Atlântica,11662-260,Rua dos Tupis
Vila Atlântica,11662-300,Rua Bartolomeu Bueno da Silva
Vila Atlântica,11662-430,Rua dos Timbiras
Vila Balneário Santa Martha,11662-220,Rua Sorocaba
Vila Balneário Santa Martha,11662-230,Rua São Bento do Sapucaí
Vila Balneário Santa Martha,11662-240,Rua Nuporanga
Vila Balneário Santa Martha,11662-250,Rua Cunha
Vila Balneário Santa Martha,11662-270,Rua Campos Novos Paulista
Vila Balneário Santa Martha,11662-280,Rua Caconde
Vila Balneário Santa Martha,11662-310,Rua Santa Rita do Passa Quatro
Vila Balneário Santa Martha,11662-320,Rua Analândia
Vila Balneário Santa Martha,11662-330,Rua Bragança Paulista
Vila Balneário Santa Martha,11662-340,Rua Itu
Vila Balneário Santa Martha,11662-350,Rua Santana do Parnaíba
Vila Balneário Santa Martha,11662-360,Rua Santo Antônio do Pinhal
Vila Balneário Santa Martha,11662-371,Rua Iguape
Vila Balneário Santa Martha,11662-372,Rua Cananéia
Vila Balneário Santa Martha,11662-390,Rua Socorro
Vila Balneário Santa Martha,11662-410,Rua Santa Bárbara do Rio Pardo
Vila Balneário Santa Martha,11662-420,Rua Poá
Vila Balneário Santa Martha,11662-440,Rua Itanhaém
Vila Balneário Santa Martha,11662-450,Rua Peruíbe
Vila Balneário Santa Martha,11662-454,Rua do Parque
Vila Balneário Santa Martha,11662-455,Rua Eliza Bressanim Lopes
Vila Balneário Santa Martha,11662-456,Travessa Eliza Bressanim Lopes
Vila Ernestina,11675-715,Rua Clementino dos Santos Gomes
Vila Kenedy,11674-610,Rua Alzira Floriano de Sá
Vila Kenedy,11674-620,Rua Cantídia Olympia Sant' Ana
Vila Marcondes,11674-520,Rua Pedro Marques de Macedo
Vila Marcondes,11674-521,Rua Sete
Vila Marcondes,11674-530,Travessa Pedro Marques Macedo
Vila Marcondes,11674-540,Rua Maria José de Oliveira
Vila Marcondes,11674-550,Rua José Vicente Leal
Vila Nossa Senhora Aparecida,11660-540,Rua Irmã São Francisco
Vila Nossa Senhora Aparecida,11675-370,Rua Três
Vila Nossa Senhora Aparecida,11675-372,Rua Alfredo Ayres de Oliveira
Vila Nossa Senhora Aparecida,11675-374,Viela Particular
Vila Nossa Senhora Aparecida,11675-377,Rua Antonio Martinez
Vila Nossa Senhora Aparecida,11675-379,Rua Aurelina dos Santos Barbosa
Vila Nossa Senhora Aparecida,11675-511,Rua José Maurício Borges
Vila Nossa Senhora Aparecida,11675-690,Rua Francisco Ribeiro
Vila Ponte Seca,11675-113,Rua Engenheiro Jair Nunes de Souza
Vila Ponte Seca,11675-520,Rua Nelson Fagundes da Rosa
Vila Ponte Seca,11675-521,Rua Virgem da Lapa
Vila Ponte Seca,11675-522,Avenida Presidente Campos Salles
Vila Ponte Seca,11675-523,Rua Roberto Miguel David
Vila Ponte Seca,11675-524,Travessa Um
Vila Ponte Seca,11675-526,Rua Jair Ferreira Rosa
Vila Ponte Seca,11675-527,Travessa Dois
Vila Portal das Flores,11668-610,Rua Porto Novo
Vila Portal das Flores,11668-620,Rua Benedito Pereira
Vila Portal das Flores,11668-621,Rua Presidente Pascoal Ranieri Mazzili
Vila Portal das Flores,11668-622,Rua Gerâneo
Vila Portal das Flores,11668-623,Rua Petúnia
Vila Portal das Flores,11668-624,Rua Quaresmeira
Vila Portal das Flores,11668-625,Rua Vitorino dos Santos
Vila Portal das Flores,11668-626,Rua João Alves Pinheiro
Vila Portal das Flores,11668-627,Rua Dália
Vila Ricardo,11677-410,Rua Benedito Eduardo Ricardo
Vila Ricardo,11677-420,Travessa Antônia Ricardo
